,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,HTML Reference
4409,Jared Terrell,2019,2019,G,6-3,227,"February 10, 1995",Rhode Island,/players/t/terreja01.html
4410,Carlos Terry,1981,1983,G-F,6-5,210,"June 22, 1956",Winston-Salem State,/players/t/terryca01.html
4411,Chuck Terry,1973,1977,F,6-6,215,"September 27, 1950",Cal State Long Beach,/players/t/terrych01.html
4412,Claude Terry,1973,1978,G-F,6-4,195,"January 12, 1950",Stanford,/players/t/terrycl01.html
4413,Dalen Terry,2023,2023,G,6-7,195,"July 12, 2002",Arizona,/players/t/terryda01.html
4414,Emanuel Terry,2019,2022,F,6-9,220,"August 21, 1996",Lincoln Memorial,/players/t/terryem01.html
4415,Jason Terry,2000,2018,G,6-2,185,"September 15, 1977",Arizona,/players/t/terryja01.html
4416,Tyrell Terry,2021,2022,G,6-2,160,"September 28, 2000",Stanford,/players/t/terryty01.html
4417,Jon Teske,2022,2022,C,7-1,265,"May 4, 1997",Michigan,/players/t/teskejo01.html
4418,Hasheem Thabeet,2010,2014,C,7-3,263,"February 16, 1987",UConn,/players/t/thabeha01.html
4419,Tom Thacker,1964,1971,G-F,6-2,170,"November 2, 1939",Cincinnati,/players/t/thackto01.html
4420,Floyd Theard,1970,1970,G,6-1,170,"September 5, 1944",Kentucky State University,/players/t/thearfl01.html
4421,Daniel Theis,2018,2022,C,6-8,245,"April 4, 1992",,/players/t/theisda01.html
4422,Reggie Theus,1979,1991,G,6-7,190,"October 13, 1957",UNLV,/players/t/theusre01.html
4423,Peter Thibeaux,1985,1986,F,6-7,210,"October 3, 1961",Saint Mary's,/players/t/thibepe01.html
4424,Bill Thieben,1957,1958,F-C,6-7,215,"March 28, 1935",Hofstra,/players/t/thiebbi01.html
4425,Justus Thigpen,1970,1974,G,6-1,160,"August 13, 1947",Weber State,/players/t/thigpju01.html
4426,David Thirdkill,1983,1987,F-G,6-7,195,"April 12, 1960",Bradley,/players/t/thirdda01.html
4427,Adonis Thomas,2014,2014,F,6-7,200,"March 25, 1993",Memphis,/players/t/thomaad01.html
4428,Billy Thomas,2005,2008,G,6-4,208,"December 23, 1975",Kansas,/players/t/thomabi01.html
4429,Brodric Thomas,2021,2022,G,6-5,185,"January 28, 1997",Truman State University,/players/t/thomabr01.html
4430,Cam Thomas,2022,2023,G,6-4,210,"October 13, 2001",LSU,/players/t/thomaca02.html
4431,Carl Thomas,1992,1998,G,6-4,175,"October 3, 1969",Eastern Michigan,/players/t/thomaca01.html
4432,Charles Thomas,1992,1992,G,6-3,175,"October 3, 1969",Eastern Michigan,/players/t/thomach01.html
4433,Etan Thomas,2002,2011,F,6-9,256,"April 1, 1978",Syracuse,/players/t/thomaet01.html
4434,Irving Thomas,1991,1991,F,6-8,225,"January 2, 1966","Kentucky, Florida State",/players/t/thomair01.html
4435,Isaiah Thomas,2012,2022,G,5-9,185,"February 7, 1989",Washington,/players/t/thomais02.html
4436,Isiah Thomas,1982,1994,G,6-1,180,"April 30, 1961",Indiana,/players/t/thomais01.html
4437,Jamel Thomas,2000,2001,F,6-6,215,"March 25, 1973",Providence,/players/t/thomaja01.html
4438,James Thomas,2005,2006,F,6-8,235,"November 22, 1980",Texas,/players/t/thomaja02.html
4439,Jim Thomas,1984,1991,G,6-3,190,"October 19, 1960",Indiana,/players/t/thomaji01.html
4440,Joe Thomas,1971,1971,F,6-6,205,"March 9, 1948",Marquette,/players/t/thomajo01.html
4441,John Thomas,1998,2006,F,6-9,265,"September 8, 1975",Minnesota,/players/t/thomajo02.html
4442,Kenny Thomas,2000,2010,F,6-7,261,"July 25, 1977",New Mexico,/players/t/thomake01.html
4443,Khyri Thomas,2019,2021,G,6-3,210,"May 8, 1996",Creighton,/players/t/thomakh01.html
4444,Kurt Thomas,1996,2013,F,6-9,230,"October 4, 1972",TCU,/players/t/thomaku01.html
4445,Lance Thomas,2012,2020,F,6-8,240,"April 24, 1988",Duke,/players/t/thomala01.html
4446,Malcolm Thomas,2012,2015,F,6-9,225,"November 8, 1988","Pepperdine, San Diego State",/players/t/thomama01.html
4447,Matt Thomas,2020,2022,G,6-4,190,"August 4, 1994",Iowa State,/players/t/thomama02.html
4448,Ronald Thomas,1973,1976,F,6-6,215,"November 19, 1950",Louisville,/players/t/thomaro01.html
4449,Terry Thomas,1976,1976,F,6-8,220,"August 20, 1953",Detroit Mercy,/players/t/thomate01.html
4450,Tim Thomas,1998,2010,F,6-10,230,"February 26, 1977",Villanova,/players/t/thomati01.html
4451,Tyrus Thomas,2007,2015,F,6-9,215,"August 17, 1986",LSU,/players/t/thomaty01.html
4452,Willis Thomas,1968,1968,G,6-2,185,,Harbor College,/players/t/thomawi01.html
4453,Trey Thompkins,2012,2012,F,6-10,245,"May 20, 1990",Georgia,/players/t/thomptr02.html
4454,Bernard Thompson,1985,1989,F-G,6-6,210,"August 30, 1962",Fresno State,/players/t/thompbe01.html
4455,Billy Thompson,1987,1992,F,6-7,195,"December 1, 1963",Louisville,/players/t/thompbi01.html
4456,Brooks Thompson,1995,1998,G,6-4,193,"July 19, 1970","Texas A&M, Oklahoma State",/players/t/thompbr01.html
4457,Corny Thompson,1983,1983,F,6-8,225,"February 5, 1960",UConn,/players/t/thompco01.html
4458,David Thompson,1976,1984,G-F,6-4,195,"July 13, 1954",NC State,/players/t/thompda01.html
4459,Dijon Thompson,2006,2007,G-F,6-7,195,"February 23, 1983",UCLA,/players/t/thompdi01.html
4460,George Thompson,1970,1975,G,6-2,200,"November 29, 1947",Marquette,/players/t/thompge01.html
4461,Hollis Thompson,2014,2017,G-F,6-8,206,"April 3, 1991",Georgetown,/players/t/thompho01.html
4462,Jack Thompson,1969,1969,G,6-1,185,"March 26, 1946",South Carolina,/players/t/thompja01.html
4463,Jason Thompson,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University,/players/t/thompja02.html
4464,John Thompson,1965,1966,F,6-10,225,"September 2, 1941",Providence,/players/t/thompjo01.html
4465,Kevin Thompson,1994,1994,C-F,6-11,260,"February 7, 1971",NC State,/players/t/thompke01.html
4466,Klay Thompson,2012,2023,G-F,6-6,215,"February 8, 1990",Washington State,/players/t/thompkl01.html
4467,LaSalle Thompson,1983,1997,C-F,6-10,245,"June 23, 1961",Texas,/players/t/thompla01.html
4468,Mychal Thompson,1979,1991,C-F,6-10,226,"January 30, 1955",Minnesota,/players/t/thompmy01.html
4469,Mychel Thompson,2012,2012,G,6-6,211,"June 1, 1988",Pepperdine,/players/t/thompmy02.html
4470,Paul Thompson,1984,1986,G-F,6-6,210,"May 25, 1961",Tulane,/players/t/thomppa01.html
4471,Stephen Thompson,1992,1992,G,6-4,185,"December 2, 1968",Syracuse,/players/t/thompst01.html
4472,Tristan Thompson,2012,2022,F-C,6-9,254,"March 13, 1991",Texas,/players/t/thomptr01.html
4473,JT Thor,2022,2023,F,6-10,205,"August 26, 2002",Auburn,/players/t/thorjt01.html
4474,Skip Thoren,1968,1970,C,6-10,230,"April 5, 1943",Illinois,/players/t/thoresk01.html
4475,Rod Thorn,1964,1971,G,6-4,195,"May 23, 1941",West Virginia,/players/t/thornro01.html
4476,Al Thornton,2008,2011,F,6-8,220,"December 7, 1983",Florida State,/players/t/thornal01.html
4477,Bob Thornton,1986,1996,F-C,6-10,225,"July 10, 1962","University of California, Irvine",/players/t/thornbo01.html
4478,Dallas Thornton,1969,1970,G,6-4,190,"September 1, 1946",Kentucky Wesleyan College,/players/t/thornda01.html
4479,Marcus Thornton,2010,2017,G,6-4,205,"June 5, 1987",LSU,/players/t/thornma01.html
4480,Sindarius Thornwell,2018,2021,G,6-4,215,"November 15, 1994",South Carolina,/players/t/thornsi01.html
4481,Otis Thorpe,1985,2001,F-C,6-9,225,"August 5, 1962",Providence,/players/t/thorpot01.html
4482,Sedale Threatt,1984,1997,G,6-2,175,"September 10, 1961",West Virginia Tech,/players/t/threase01.html
4483,Nate Thurmond,1964,1977,C-F,6-11,225,"July 25, 1941",Bowling Green,/players/t/thurmna01.html
4484,Mel Thurston,1948,1948,G,6-0,175,"January 16, 1919",Canisius,/players/t/thursme01.html
4485,Matisse Thybulle,2020,2023,G,6-5,201,"March 4, 1997",Washington,/players/t/thybuma01.html
4486,Hal Tidrick,1949,1949,F-G,6-1,190,"April 4, 1915",Washington & Jefferson College,/players/t/tidriha01.html
4487,Dan Tieman,1963,1963,G,6-0,185,"November 30, 1940",Thomas More College,/players/t/tiemada01.html
4488,Killian Tillie,2021,2022,F,6-9,220,"March 5, 1998",Gonzaga,/players/t/tilliki02.html
4489,Darren Tillis,1983,1984,C-F,6-11,215,"February 23, 1960",Cleveland State University,/players/t/tillida01.html
4490,Xavier Tillman Sr.,2021,2023,F,6-8,245,"January 12, 1999",Michigan State,/players/t/tillmxa01.html
4491,Jack Tingle,1948,1949,F,6-4,205,"December 30, 1924",Kentucky,/players/t/tinglja01.html
4492,George Tinsley,1970,1972,F,6-5,205,"September 19, 1946",Kentucky Wesleyan College,/players/t/tinslge01.html
4493,Jamaal Tinsley,2002,2014,G,6-3,195,"February 28, 1978",Iowa State,/players/t/tinslja01.html
4494,Wayman Tisdale,1986,1997,F-C,6-9,240,"June 9, 1964",Oklahoma,/players/t/tisdawa01.html
4495,Mike Tobey,2017,2017,C,7-0,260,"October 10, 1994",Virginia,/players/t/tobeymi01.html
4496,Isaiah Todd,2022,2023,F,6-10,220,"October 17, 2001",,/players/t/toddis01.html
4497,Mike Todorovich,1950,1951,F-C,6-5,220,"June 11, 1923",Wyoming,/players/t/todormi01.html
4498,Ray Tolbert,1982,1989,F,6-9,225,"September 10, 1958",Indiana,/players/t/tolbera01.html
4499,Tom Tolbert,1989,1995,F-C,6-7,235,"October 16, 1965","University of California, Irvine, Arizona",/players/t/tolbeto01.html
4500,Anthony Tolliver,2009,2021,F-C,6-8,240,"June 1, 1985",Creighton,/players/t/tollian01.html
4501,Dean Tolson,1975,1978,F,6-8,190,"November 25, 1951",Arkansas,/players/t/tolsode01.html
4502,Rudy Tomjanovich,1971,1981,F,6-8,218,"November 24, 1948",Michigan,/players/t/tomjaru01.html
4503,Andrew Toney,1981,1988,G,6-3,178,"November 23, 1957",Louisiana,/players/t/toneyan01.html
4504,Sedric Toney,1986,1994,G,6-2,178,"April 13, 1962",Dayton,/players/t/toneyse01.html
4505,Andy Tonkovich,1949,1949,G,6-1,185,"November 1, 1922",Marshall,/players/t/tonkoan01.html
4506,Andy Toolson,1991,1996,G-F,6-6,210,"January 19, 1966",BYU,/players/t/toolsan01.html
4507,Jack Toomay,1948,1950,C-F,6-6,215,"August 9, 1922",University of the Pacific,/players/t/toomaja01.html
4508,Bernard Toone,1980,1980,F,6-9,210,"July 14, 1956",Marquette,/players/t/toonebe01.html
4509,Obi Toppin,2021,2023,F,6-9,220,"March 4, 1998",Dayton,/players/t/toppiob01.html
4510,Irv Torgoff,1947,1949,F,6-2,192,"March 6, 1917",Long Island University,/players/t/torgoir01.html
4511,Gene Tormohlen,1963,1970,C-F,6-8,230,"May 12, 1937",Tennessee,/players/t/tormobu01.html
4512,Óscar Torres,2002,2003,F,6-6,210,"December 18, 1976",,/players/t/torreos01.html
4513,Juan Toscano-Anderson,2020,2023,F,6-6,209,"April 10, 1993",Marquette,/players/t/toscaju01.html
4514,Bill Tosheff,1952,1954,G,6-1,175,"June 2, 1926",Indiana,/players/t/toshebi01.html
4515,Bob Tough,1949,1950,G-F,6-0,185,"August 28, 1920",St. John's,/players/t/toughbo01.html
4516,Axel Toupane,2016,2021,G-F,6-7,197,"July 23, 1992",,/players/t/toupaax01.html
4517,Monte Towe,1976,1977,G,5-7,150,"September 27, 1953",NC State,/players/t/towemo01.html
4518,Keith Tower,1994,1997,C-F,6-11,250,"May 15, 1970",Notre Dame,/players/t/towerke01.html
4519,Blackie Towery,1949,1950,F-C,6-4,210,"June 20, 1920",Western Kentucky,/players/t/towerbl01.html
4520,Linton Townes,1983,1985,F-G,6-7,190,"November 30, 1959",James Madison University,/players/t/towneli01.html
4521,Karl-Anthony Towns,2016,2023,C-F,6-11,248,"November 15, 1995",Kentucky,/players/t/townska01.html
4522,Raymond Townsend,1979,1982,G,6-3,175,"December 20, 1955",UCLA,/players/t/townsra01.html
4523,George Trapp,1972,1977,F-C,6-8,205,"July 11, 1948",Cal State Long Beach,/players/t/trappge01.html
4524,John Trapp,1969,1973,F,6-7,210,"October 2, 1945",UNLV,/players/t/trappjo01.html
4525,Robert Traylor,1999,2005,F,6-8,284,"February 1, 1977",Michigan,/players/t/traylro01.html
4526,Gary Trent,1996,2004,F,6-8,250,"September 22, 1974",Ohio University,/players/t/trentga01.html
4527,Gary Trent Jr.,2019,2023,G,6-5,209,"January 18, 1999",Duke,/players/t/trentga02.html
4528,Jeff Trepagnier,2002,2004,G,6-4,200,"July 11, 1979",USC,/players/t/trepaje01.html
4529,John Tresvant,1965,1973,F-C,6-7,215,"November 6, 1939",Seattle University,/players/t/tresvjo01.html
4530,Allonzo Trier,2019,2020,G,6-4,200,"January 17, 1996",Arizona,/players/t/trieral01.html
4531,Dick Triptow,1949,1950,G-F,6-0,170,"November 3, 1922",DePaul,/players/t/triptdi01.html
4532,Kelly Tripucka,1982,1991,F-G,6-6,220,"February 16, 1959",Notre Dame,/players/t/tripuke01.html
4533,Ansley Truitt,1973,1973,C,6-9,215,"August 24, 1950",California,/players/t/truitan01.html
4534,Cezary Trybański,2003,2004,C,7-2,240,"September 22, 1979",,/players/t/trybace01.html
4535,Jake Tsakalidis,2001,2007,C,7-2,285,"June 10, 1979",,/players/t/tsakaja01.html
4536,John Tschogl,1973,1975,F,6-6,206,"April 25, 1950",UC Santa Barbara,/players/t/tschojo01.html
4537,Lou Tsioropoulos,1957,1959,F,6-5,190,"August 31, 1930",Kentucky,/players/t/tsiorlo01.html
4538,Nikoloz Tskitishvili,2003,2006,F,7-0,225,"April 14, 1983",,/players/t/tskitni01.html
4539,Al Tucker,1968,1972,F,6-8,190,"February 24, 1943",Oklahoma Baptist University,/players/t/tuckeal01.html
4540,Alando Tucker,2008,2010,F,6-6,205,"February 11, 1984",Wisconsin,/players/t/tuckeal02.html
4541,Anthony Tucker,1995,1995,F,6-8,220,"April 4, 1969","Georgetown, Wake Forest",/players/t/tuckean01.html
4542,Jim Tucker,1955,1957,F,6-7,185,"December 11, 1932",Duquesne,/players/t/tuckeji01.html
4543,P.J. Tucker,2007,2023,F,6-5,245,"May 5, 1985",Texas,/players/t/tuckepj01.html
4544,Rayjon Tucker,2020,2022,F,6-3,209,"September 24, 1997","Florida Gulf Coast, Little Rock",/players/t/tuckera01.html
4545,Trent Tucker,1983,1993,G,6-5,193,"December 20, 1959",Minnesota,/players/t/tucketr01.html
4546,Ronny Turiaf,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga,/players/t/turiaro01.html
4547,Mirsad Türkcan,2000,2000,F,6-9,236,"June 7, 1976",,/players/t/turkcmi01.html
4548,Hedo Türkoğlu,2001,2015,F,6-10,220,"March 19, 1979",,/players/t/turkohe01.html
4549,Andre Turner,1987,1992,G,5-11,160,"December 13, 1964",Memphis,/players/t/turnean01.html
4550,Bill Turner,1968,1973,F,6-7,220,"February 18, 1944",University of Akron,/players/t/turnebi01.html
4551,Elston Turner,1982,1989,G-F,6-5,190,"June 10, 1959",Ole Miss,/players/t/turneel01.html
4552,Evan Turner,2011,2020,G,6-6,220,"October 27, 1988",Ohio State,/players/t/turneev01.html
4553,Gary Turner,1968,1968,F,6-7,200,,TCU,/players/t/turnega01.html
4554,Henry Turner,1990,1995,G-F,6-7,200,"August 18, 1966",Cal State Fullerton,/players/t/turnehe02.html
4555,Herschell Turner,1968,1968,G,6-2,195,"March 29, 1938",Nebraska,/players/t/turnehe01.html
4556,Jack Turner,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky,/players/t/turneja01.html
4557,Jack Turner,1962,1962,G-F,6-5,200,"June 5, 1939",Louisville,/players/t/turneja02.html
4558,Jeff Turner,1985,1996,F-C,6-9,230,"April 9, 1962",Vanderbilt,/players/t/turneje01.html
4559,John Turner,1992,1992,F,6-8,245,"November 30, 1967","Georgetown, Phillips University",/players/t/turnejo01.html
4560,Myles Turner,2016,2023,C-F,6-11,250,"March 24, 1996",Texas,/players/t/turnemy01.html
4561,Wayne Turner,2000,2000,G,6-2,190,"March 22, 1976",Kentucky,/players/t/turnewa01.html
4562,Melvin Turpin,1985,1990,C,6-11,240,"December 28, 1960",Kentucky,/players/t/turpime01.html
4563,Dave Twardzik,1973,1980,G,6-1,175,"September 20, 1950",Old Dominion,/players/t/twardda01.html
4564,Jack Twyman,1956,1966,F-G,6-6,210,"May 11, 1934",Cincinnati,/players/t/twymaja01.html
4565,B.J. Tyler,1995,1995,G,6-1,185,"April 30, 1971","DePaul, Texas",/players/t/tylerbj01.html
4566,Jeremy Tyler,2012,2014,C,6-10,260,"June 21, 1991",,/players/t/tylerje01.html
4567,Terry Tyler,1979,1989,F-G,6-7,215,"October 30, 1956",Detroit Mercy,/players/t/tylerte01.html
4568,Charlie Tyra,1958,1962,C-F,6-8,230,"August 16, 1935",Louisville,/players/t/tyrach01.html
4569,Edwin Ubiles,2012,2012,G,6-6,204,"November 26, 1986",Siena College,/players/u/ubileed01.html
4570,Ekpe Udoh,2011,2019,C-F,6-10,245,"May 20, 1987","Michigan, Baylor",/players/u/udohek01.html
4571,Ime Udoka,2004,2011,F,6-6,215,"August 9, 1977","San Francisco, Portland State",/players/u/udokaim01.html
4572,Beno Udrih,2005,2017,G,6-3,205,"July 5, 1982",,/players/u/udrihbe01.html
4573,Roko Ukić,2009,2010,G,6-5,183,"May 12, 1984",,/players/u/ukicro01.html
4574,Tyler Ulis,2017,2019,G,5-10,160,"January 5, 1996",Kentucky,/players/u/ulisty01.html
4575,Wes Unseld,1969,1981,C-F,6-7,245,"March 14, 1946",Louisville,/players/u/unselwe01.html
4576,Hal Uplinger,1954,1954,G,6-4,185,"September 30, 1929",Long Island University,/players/u/uplinha01.html
4577,Kelvin Upshaw,1989,1991,G,6-2,180,"January 24, 1963",Utah,/players/u/upshake01.html
4578,Jarrod Uthoff,2017,2020,F,6-9,221,"May 19, 1993",Iowa,/players/u/uthofja01.html
4579,Ben Uzoh,2011,2012,G,6-3,205,"March 19, 1988",Tulsa,/players/u/uzohbe01.html
4580,Stephen Vacendak,1968,1970,G,6-1,185,"August 15, 1944",Duke,/players/v/vacenst01.html
4581,Jonas Valančiūnas,2013,2023,C,6-11,265,"May 6, 1992",,/players/v/valanjo01.html
4582,Darnell Valentine,1982,1991,G,6-1,183,"February 3, 1959",Kansas,/players/v/valenda01.html
4583,Denzel Valentine,2017,2022,G,6-4,220,"November 16, 1993",Michigan State,/players/v/valende01.html
4584,Ronnie Valentine,1981,1981,F,6-7,210,"November 27, 1957",Old Dominion,/players/v/valenro01.html
4585,John Vallely,1971,1972,G,6-3,185,"October 3, 1948",UCLA,/players/v/vallejo01.html
4586,Dick Van Arsdale,1966,1977,G-F,6-5,210,"February 22, 1943",Indiana,/players/v/vanardi01.html
4587,Tom Van Arsdale,1966,1977,F-G,6-5,202,"February 22, 1943",Indiana,/players/v/vanarto01.html
4588,Nick Van Exel,1994,2006,G,6-1,170,"November 27, 1971","Trinity Valley CC, Cincinnati",/players/v/vanexni01.html
4589,Keith Van Horn,1998,2006,F,6-10,220,"October 23, 1975",Utah,/players/v/vanhoke01.html
4590,Norm Van Lier,1970,1979,G,6-1,173,"April 1, 1947",Saint Francis University,/players/v/vanlino01.html
4591,Dennis Van Zant,1976,1976,F,6-9,210,"June 1, 1952",Azusa Pacific University,/players/v/vanzade01.html
4592,Fred VanVleet,2017,2023,G,6-1,197,"February 25, 1994",Wichita State,/players/v/vanvlfr01.html
4593,Gene Vance,1948,1952,G-F,6-3,195,"February 25, 1923",Illinois,/players/v/vancege01.html
4594,Logan Vander Velden,1996,1996,F,6-8,215,"April 3, 1971",Green Bay,/players/v/vandelo01.html
4595,Jarred Vanderbilt,2019,2023,F,6-9,214,"April 3, 1999",Kentucky,/players/v/vandeja01.html
4596,Ernie Vandeweghe,1950,1956,F-G,6-3,195,"September 12, 1928",Colgate,/players/v/vandeer01.html
4597,Kiki Vandeweghe,1981,1993,F,6-8,220,"August 1, 1958",UCLA,/players/v/vandeki01.html
4598,Nick Vanos,1986,1987,C,7-1,255,"April 13, 1963",Santa Clara,/players/v/vanosni01.html
4599,David Vanterpool,2001,2001,G,6-5,200,"March 31, 1973",St. Bonaventure,/players/v/vanteda01.html
4600,Ratko Varda,2002,2002,C,7-1,260,"May 6, 1979",,/players/v/vardara01.html
4601,Anderson Varejão,2005,2021,F-C,6-11,273,"September 28, 1982",,/players/v/varejan01.html
4602,Jarvis Varnado,2013,2014,F,6-9,230,"March 1, 1988",Mississippi State,/players/v/varnaja01.html
4603,Greivis Vásquez,2011,2017,G,6-6,217,"January 16, 1987",Maryland,/players/v/vasqugr01.html
4604,Devin Vassell,2021,2023,G-F,6-5,200,"August 23, 2000",Florida State,/players/v/vassede01.html
4605,Chico Vaughn,1963,1970,G,6-2,190,"February 19, 1940",Southern Illinois,/players/v/vaughch01.html
4606,David Vaughn,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts,/players/v/vaughda01.html
4607,David Vaughn,1996,1999,F,6-9,240,"March 23, 1973",Memphis,/players/v/vaughda02.html
4608,Jacque Vaughn,1998,2009,G,6-1,190,"February 11, 1975",Kansas,/players/v/vaughja01.html
4609,Rashad Vaughn,2016,2018,G,6-6,202,"August 16, 1996",UNLV,/players/v/vaughra01.html
4610,Virgil Vaughn,1947,1947,F-C,6-4,205,"May 15, 1918",Western Kentucky,/players/v/vaughvi01.html
4611,Loy Vaught,1991,2001,F,6-9,230,"February 27, 1968",Michigan,/players/v/vaughlo01.html
4612,Bob Verga,1968,1974,G,6-1,190,"September 7, 1945",Duke,/players/v/vergabo01.html
4613,Pete Verhoeven,1982,1987,F,6-9,215,"February 15, 1959",Fresno State,/players/v/verhope01.html
4614,Jan Veselý,2012,2014,F,6-11,240,"April 24, 1990",,/players/v/veselja01.html
4615,Gundars Vētra,1993,1993,F,6-6,195,"May 22, 1967",,/players/v/vetragu01.html
4616,João Vianna,1992,1992,F,6-9,215,"November 15, 1966",,/players/v/viannjo01.html
4617,Charlie Villanueva,2006,2016,F,6-11,232,"August 24, 1984",UConn,/players/v/villach01.html
4618,Gabe Vincent,2020,2023,G,6-3,200,"June 14, 1996",UC Santa Barbara,/players/v/vincega01.html
4619,Jay Vincent,1982,1990,F,6-7,220,"June 10, 1959",Michigan State,/players/v/vinceja01.html
4620,Sam Vincent,1986,1992,G,6-2,185,"May 18, 1963",Michigan State,/players/v/vincesa01.html
4621,Marcus Vinicius,2007,2008,F,6-8,225,"May 31, 1984",,/players/v/vincima01.html
4622,Fred Vinson,1995,2000,G,6-4,190,"January 28, 1971",Georgia Tech,/players/v/vinsofr01.html
4623,Claude Virden,1973,1973,F,6-6,195,"November 25, 1947",Murray State,/players/v/virdecl01.html
4624,Gary Voce,1990,1990,F,6-9,240,"November 24, 1965",Notre Dame,/players/v/vocega01.html
4625,Floyd Volker,1950,1950,F-C,6-4,205,"June 21, 1921",Wyoming,/players/v/volkefl01.html
4626,Alexander Volkov,1990,1992,C,6-10,218,"March 28, 1964",,/players/v/volkoal01.html
4627,Whitey Von Nieda,1950,1950,G-F,6-1,170,"June 19, 1922",Penn State,/players/v/vonniwh01.html
4628,Noah Vonleh,2015,2023,F,6-10,257,"August 24, 1995",Indiana,/players/v/vonleno01.html
4629,Jake Voskuhl,2001,2009,C,6-11,245,"November 1, 1977",UConn,/players/v/voskuja01.html
4630,Danny Vranes,1982,1988,F,6-7,210,"October 29, 1958",Utah,/players/v/vraneda01.html
4631,Slavko Vraneš,2004,2004,C,7-5,275,"January 30, 1983",,/players/v/vranesl01.html
4632,Stojko Vranković,1991,1999,C,7-2,260,"January 22, 1964",,/players/v/vrankst01.html
4633,Brett Vroman,1981,1981,C,7-0,220,"December 25, 1955","UCLA, UNLV",/players/v/vromabr01.html
4634,Jackson Vroman,2005,2006,F-C,6-10,220,"June 6, 1981",Iowa State,/players/v/vromaja01.html
4635,Nikola Vučević,2012,2023,C,6-10,260,"October 24, 1990",USC,/players/v/vucevni01.html
4636,Sasha Vujačić,2005,2017,G,6-7,195,"March 8, 1984",,/players/v/vujacsa01.html
4637,Butch van Breda Kolff,1947,1950,G-F,6-3,185,"October 28, 1922",NYU,/players/v/vanbrbu01.html
4638,Jan van Breda Kolff,1975,1983,F-G,6-7,195,"December 16, 1951",Vanderbilt,/players/v/vanbrja01.html
4639,Dean Wade,2020,2023,F,6-9,228,"November 20, 1996",Kansas State,/players/w/wadede01.html
4640,Dwyane Wade,2004,2019,G,6-4,220,"January 17, 1982",Marquette,/players/w/wadedw01.html
4641,Mark Wade,1988,1990,G,5-11,160,"October 15, 1965","Oklahoma, UNLV",/players/w/wadema01.html
4642,Von Wafer,2006,2012,G,6-5,210,"July 21, 1985",Florida State,/players/w/wafervo01.html
4643,Clint Wager,1950,1950,C-F,6-6,210,"January 20, 1920",Saint Mary's University of Minnesota,/players/w/wagercl01.html
4644,Dajuan Wagner,2003,2007,G,6-2,200,"February 4, 1983",Memphis,/players/w/wagneda02.html
4645,Danny Wagner,1950,1950,G,6-0,170,"August 1, 1922",Texas,/players/w/wagneda01.html
4646,Franz Wagner,2022,2023,G-F,6-9,225,"August 27, 2001",Michigan,/players/w/wagnefr01.html
4647,Milt Wagner,1988,1991,G,6-5,185,"February 20, 1963",Louisville,/players/w/wagnemi01.html
4648,Moritz Wagner,2019,2022,F-C,6-11,245,"April 26, 1997",Michigan,/players/w/wagnemo01.html
4649,Phillip Wagner,1969,1969,G,6-2,190,"December 18, 1945",Georgia Tech,/players/w/wagneph01.html
4650,Ish Wainright,2022,2022,F,6-6,250,"September 12, 1994",Baylor,/players/w/wainris01.html
4651,Dion Waiters,2013,2020,G,6-3,215,"December 10, 1991",Syracuse,/players/w/waitedi01.html
4652,Granville Waiters,1984,1988,C,6-11,225,"January 8, 1961",Ohio State,/players/w/waitegr01.html
4653,Andre Wakefield,1979,1980,G,6-3,175,"January 11, 1955",Loyola Chicago,/players/w/wakefan01.html
4654,Neal Walk,1970,1977,C,6-10,220,"July 29, 1948",Florida,/players/w/walkne01.html
4655,Andy Walker,1977,1977,G,6-4,190,"March 25, 1955",Niagara University,/players/w/walkean01.html
4656,Antoine Walker,1997,2008,F,6-8,224,"August 12, 1976",Kentucky,/players/w/walkean02.html
4657,Brady Walker,1949,1952,F-C,6-6,205,"March 15, 1921",BYU,/players/w/walkebr01.html
4658,Chet Walker,1963,1975,F-G,6-6,212,"February 22, 1940",Bradley,/players/w/walkech01.html
4659,Darrell Walker,1984,1993,G,6-4,180,"March 9, 1961",Arkansas,/players/w/walkeda01.html
4660,Foots Walker,1975,1984,G,6-0,184,"May 21, 1951","Vincennes University, West Georgia",/players/w/walkefo01.html
4661,Henry Walker,2009,2015,F,6-6,220,"October 9, 1987",Kansas State,/players/w/walkebi01.html
4662,Horace Walker,1962,1962,F,6-3,210,"April 17, 1937",Michigan State,/players/w/walkeho01.html
4663,Jabari Walker,2023,2023,F,6-9,215,"July 30, 2002",Colorado,/players/w/walkeja01.html
4664,Jimmy Walker,1968,1976,G,6-3,195,"April 8, 1944",Providence,/players/w/walkeji01.html
4665,Kemba Walker,2012,2022,G,6-0,184,"May 8, 1990",UConn,/players/w/walkeke02.html
4666,Kenny Walker,1987,1995,F,6-8,210,"August 18, 1964",Kentucky,/players/w/walkeke01.html
4667,Lonnie Walker IV,2019,2023,G,6-4,204,"December 14, 1998",Miami (FL),/players/w/walkelo01.html
